_id,TURU,KURTARMA TURU,BILDIRIM TARIHI,MAHALLE
1,KURTARMA,Hayvan Kurtarma,6.02.2024,ONAT KUTLAR
2,KURTARMA,Hayvan Kurtarma,3.08.2024,IBRAHIMLI
3,KURTARMA,Kapalı Alanda Mahsur Kalma,15.04.2024,KURBANBABA
4,KURTARMA,Kapalı Alanda Mahsur Kalma,15.04.2024,MIMAR SINAN
5,KURTARMA,Kapalı Alanda Mahsur Kalma,2.08.2024,BÜLBÜLZADE
6,KURTARMA,Kapalı Alanda Mahsur Kalma,3.08.2024,YAKACIK
7,KURTARMA,Kapalı Alanda Mahsur Kalma,3.08.2024,SIHLAR
8,KURTARMA,Kapalı Alanda Mahsur Kalma,3.08.2024,KAYAÖNÜ
9,KURTARMA,Kapalı Alanda Mahsur Kalma,9.06.2024,BARAK
10,KURTARMA,Kapalı Alanda Mahsur Kalma,2.08.2024,KARATAS
11,KURTARMA,Kapalı Alanda Mahsur Kalma,4.08.2024,BOYACI
12,KURTARMA,Asansörde Mahsur Kalma,11.06.2024,MAVIKENT
13,KURTARMA,Asansörde Mahsur Kalma,11.06.2024,YEDITEPE
14,KURTARMA,Asansörde Mahsur Kalma,9.06.2024,KONAK
15,KURTARMA,Asansörde Mahsur Kalma,2.08.2024,SAHINTEPE
16,KURTARMA,Asansörde Mahsur Kalma,25.07.2024,ÇAMLITEPE
17,KURTARMA,Kapı Açma,9.08.2024,YEDITEPE
18,KURTARMA,Kapı Açma,5.08.2024,SUBASI
19,KURTARMA,Kapı Açma,4.08.2024,GÜVENEVLER
20,KURTARMA,Kapı Açma,1.08.2024,FATIH SULTAN
21,KURTARMA,Diğer Kurtarmalar,15.09.2024,MÜCAHITLER
22,KURTARMA,Diğer Kurtarmalar,17.09.2024,PERILIKAYA
23,KURTARMA,Diğer Kurtarmalar,15.09.2024,PERILIKAYA
24,KURTARMA,Diğer Kurtarmalar,13.09.2024,ONUR
25,KURTARMA,Diğer Kurtarmalar,11.09.2024,TEKSTILKENT
